,Completed_Tasks,Active_Tasks,Backlog_Tasks,Total_Tasks,Psychological_Safety,Average_PPS,Average_Knowledge
130,12,1,12,25,0.7946450719825002,0.6486298422939021,13.375
131,12,2,11,25,0.7961309122266415,0.6501163231828473,13.375
132,12,2,11,25,0.7976167524707827,0.6513585917812349,13.375
133,12,2,11,25,0.7991025927149239,0.6528336954213524,13.375
134,12,2,11,25,0.8005884329590651,0.6539181510065404,13.375
135,12,2,11,25,0.8020742732032063,0.6554448133463574,13.375
136,12,2,11,25,0.8035601134473476,0.6568850758445967,13.375
137,12,2,11,25,0.8050459536914888,0.6582318213156436,13.375
138,12,2,11,25,0.80653179393563,0.6597139807843433,13.375
139,12,2,11,25,0.8080176341797712,0.6609859450642516,13.5
140,13,1,11,25,0.8095034744239125,0.6625017404533776,13.625
141,13,1,11,25,0.8109893146680537,0.6641544661316302,13.625
142,13,1,11,25,0.8124751549121949,0.6656584301983139,13.625
143,13,1,11,25,0.8139609951563361,0.6670485957161155,13.625
144,13,1,11,25,0.8154468354004774,0.6682690332608975,13.625
145,13,1,11,25,0.8169326756446186,0.6696875963421279,13.625
146,13,1,11,25,0.8184185158887598,0.6710530321621067,13.75
147,13,1,11,25,0.819904356132901,0.672577693079087,13.75
148,13,1,11,25,0.8213901963770422,0.6739816558865535,13.75
149,13,1,11,25,0.8228760366211835,0.6755420714096224,13.75
150,13,1,11,25,0.8243618768653247,0.6766737072002174,13.75
151,13,1,11,25,0.8258477171094659,0.6780811801427268,13.75
152,13,1,11,25,0.8273335573536071,0.6796949526226481,13.75
153,14,0,11,25,0.8288193975977484,0.6811069390348791,13.75
154,14,1,11,26,0.8303052378418896,0.6826808456021184,13.75
155,14,1,11,26,0.8317910780860308,0.6841994262540722,13.75
156,14,1,11,26,0.833276918330172,0.6854720222863512,13.75
157,14,1,11,26,0.8347627585743133,0.6868942021178983,13.875
158,14,1,11,26,0.8362485988184545,0.6884180002190249,14.0
159,14,1,11,26,0.8377344390625957,0.6901829591687745,14.0
160,14,1,11,26,0.8392202793067369,0.6917004664539097,14.0
161,15,0,11,26,0.8407061195508782,0.6931636093941123,14.0
162,15,0,11,26,0.8421919597950194,0.694569268529857,14.0
163,15,0,11,26,0.8436778000391606,0.6960824346400436,14.0
164,15,0,11,26,0.8451636402833018,0.6978106842743204,14.0
165,15,0,11,26,0.846649480527443,0.6992599621546526,14.0
166,15,0,11,26,0.8481353207715843,0.7008066249495789,14.0
167,15,0,11,26,0.8496211610157255,0.7023293266500049,14.0
168,15,0,11,26,0.8511070012598667,0.7038729489305482,14.0
169,15,0,11,26,0.8525928415040079,0.7051346648187018,14.0
170,15,0,11,26,0.8540786817481492,0.7064025976471208,14.0
171,15,0,11,26,0.8555645219922904,0.7079500483239325,14.0
172,15,0,11,26,0.8570503622364316,0.7093850632511528,14.0
173,15,0,12,27,0.8585362024805728,0.7109762598082334,14.0
174,15,0,13,28,0.860022042724714,0.7123762657008162,14.0
175,15,0,13,28,0.8615078829688553,0.7140863401301345,14.0
176,15,0,13,28,0.8629937232129965,0.71605719435834,14.0
177,15,0,13,28,0.8644795634571377,0.7174582202736289,14.0
178,15,0,13,28,0.865965403701279,0.7191559480449582,14.0
179,15,0,13,28,0.8674512439454202,0.7205622732060669,14.0
180,15,0,13,28,0.8689370841895614,0.7222429685694739,14.0
181,15,0,13,28,0.8704229244337026,0.7236248931022394,14.0
182,15,0,13,28,0.8719087646778438,0.7253293632020111,14.0
183,15,0,13,28,0.8733946049219851,0.726472469283092,14.0
184,15,0,13,28,0.8748804451661263,0.7280559610224542,14.0
185,15,0,13,28,0.8763662854102675,0.7295215675283233,14.0
186,15,0,13,28,0.8778521256544087,0.7308333318525992,14.0
187,15,0,13,28,0.87933796589855,0.7323626050308679,14.0
188,15,0,13,28,0.8808238061426912,0.7337461481270295,14.0
189,15,0,14,29,0.8823096463868324,0.7353902534079533,14.0
190,15,0,14,29,0.8837954866309736,0.736830730305657,14.0
191,15,0,14,29,0.8852813268751148,0.7384663502492905,14.0
192,15,0,14,29,0.8867671671192561,0.740288782448205,14.0
193,15,0,14,29,0.8882530073633973,0.7415037553173566,14.0
194,15,0,14,29,0.8897388476075385,0.7430935616925969,14.0
195,15,0,14,29,0.8912246878516797,0.7445200109085586,14.0
196,15,0,14,29,0.892710528095821,0.7460317312413971,14.0
197,15,0,14,29,0.8941963683399622,0.7477732946623781,14.0
198,15,0,14,29,0.8956822085841034,0.7492485662966929,14.0
199,15,0,14,29,0.8971680488282446,0.7506804828541589,14.0
